Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_1206_3216Metric",143.256000,-130.351000,90.000000,top
"C2","100n","C_1206_3216Metric",147.114000,-130.351000,90.000000,top
"C3","4.7u","C_1206_3216Metric",155.575000,-128.192000,90.000000,top
"C4","100n","C_1206_3216Metric",159.238300,-128.217300,90.000000,top
"C5","4.7u","C_1206_3216Metric",154.940000,-57.235500,-90.000000,top
"C6","4.7u","C_1206_3216Metric",157.099000,-84.201000,-90.000000,top
"C7","4.7u","C_1206_3216Metric",141.986000,-61.087000,-90.000000,top
"C8","4.7u","C_1206_3216Metric",167.816000,-40.132000,180.000000,top
"C9","4.7u","C_1206_3216Metric",144.780000,-71.120000,-90.000000,top
"C10","4.7u","C_1206_3216Metric",141.986000,-71.120000,-90.000000,top
"D1","LED","LED_0805_2012Metric",132.461000,-134.112000,90.000000,top
"D2","LED","LED_0805_2012Metric",122.682000,-134.366000,90.000000,top
"D4","M7","D_SMA",159.766000,-57.912000,-90.000000,top
"D5","LED","LED_0805_2012Metric",144.145000,-78.105000,180.000000,top
"D6","LED","LED_0805_2012Metric",144.145000,-81.661000,180.000000,top
"D7","LED","LED_0805_2012Metric",148.082000,-42.291000,-90.000000,top
"D8","M7","D_SMA",162.941000,-77.978000,-90.000000,top
"J4","MICROXNJ","SHOUHAN_MICROXNJ",156.337000,-38.608000,0.000000,top
"Q1","AO3400A","SOT95P280X125-3N",132.461000,-127.314500,-90.000000,top
"Q2","AO3400A","SOT95P280X125-3N",120.396000,-125.603000,-90.000000,top
"Q4","PT42-21C/TR8","LED_1210_3225Metric",151.892000,-134.239000,-90.000000,top
"Q5","AO3400A","SOT95P280X125-3N",148.082000,-48.499000,90.000000,top
"R1","3k6","R_1206_3216Metric",139.192000,-95.565500,-90.000000,top
"R2","3k6","R_1206_3216Metric",127.889000,-92.521500,-90.000000,top
"R3","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",142.875000,-102.515000,-90.000000,top
"R4","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",146.558000,-102.515000,-90.000000,top
"R5","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",150.241000,-102.515000,-90.000000,top
"R6","10k","R_1206_3216Metric",122.428000,-92.456000,-90.000000,top
"R7","470","R_1206_3216Metric",127.762000,-133.552000,90.000000,top
"R8","470","R_1206_3216Metric",135.890000,-116.153000,90.000000,top
"R9","3k6","R_1206_3216Metric",121.604500,-100.509000,0.000000,top
"R10","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",162.433000,-128.117000,-90.000000,top
"R11","1k","R_1206_3216Metric",157.480000,-135.636000,180.000000,top
"R12","470k","R_0805_2012Metric",147.574000,-71.120000,-90.000000,top
"R13","100k","R_1206_3216Metric",150.114000,-71.120000,90.000000,top
"R14","10k","R_1206_3216Metric",152.654000,-57.215500,90.000000,top
"R15","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.591000,-50.546000,-90.000000,top
"R16","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",152.908000,-50.546000,-90.000000,top
"R17","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.274000,-50.546000,-90.000000,top
"R18","470","R_1206_3216Metric",139.700000,-78.105000,180.000000,top
"R19","470","R_1206_3216Metric",139.700000,-81.661000,180.000000,top
"R20","20k","R_0805_2012Metric",154.305000,-84.201000,90.000000,top
"R21","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",140.563000,-56.261000,180.000000,top
"R22","2.2k","R_0805_2012Metric",160.020000,-84.201000,-90.000000,top
"R23","470","R_1206_3216Metric",143.383000,-42.926000,-90.000000,top
"R24","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",161.798000,-71.882000,0.000000,top
"R25","10k","R_1206_3216Metric",161.798000,-100.584000,0.000000,top
"R26","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",140.462000,-66.294000,180.000000,top
"R27","3k6","R_1206_3216Metric",121.604500,-102.795000,0.000000,top
"R28","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",129.159000,-116.078000,90.000000,top
"R29","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",131.445000,-116.078000,90.000000,top
"U2","FT234XD-R","SON45P300X300X80-13N",139.827000,-88.500500,90.000000,top
"U3","CAT24C256","SOIC127P600X175-8N",144.145000,-116.078000,-90.000000,top
"U4","VCNL36821S","VCNL36821S",140.674000,-134.434000,0.000000,top
"U5","MP2602DQ-LF-Z","SON50P300X300X100-11N",155.904500,-71.120000,0.000000,top
"U6","XC6206P332MR","SOT-23-3",146.939000,-55.372000,0.000000,top
"U7","AMS1117-5.0","SOT229P700X180-4N",151.765000,-63.500000,-90.000000,top
