"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D5,D1,D2,D7,D6";"LED_0805_2012Metric";5;"LED";;;
2;"R4,R28,R17,R15,R10,R21,R5,R3,R16,R24,R29,R26";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";12;"0";;;
3;"Q2,Q5,Q1";"SOT95P280X125-3N";3;"AO3400A";;;
4;"R7,R19,R18,R8,R23";"R_1206_3216Metric";5;"470";;;
5;"R27,R9,R2,R1";"R_1206_3216Metric";4;"3k6";;;
6;"C3,C10,C5,C7,C9,C1,C6,C8";"C_1206_3216Metric";8;"4.7u";;;
7;"U7";"SOT229P700X180-4N";1;"AMS1117-5.0";;;
8;"R22";"R_0805_2012Metric";1;"2.2k";;;
9;"Q4";"LED_1210_3225Metric";1;"PT42-21C/TR8";;;
10;"R11";"R_1206_3216Metric";1;"1k";;;
11;"R20";"R_0805_2012Metric";1;"20k";;;
12;"U6";"SOT-23-3";1;"XC6206P332MR";;;
13;"R6,R14,R25";"R_1206_3216Metric";3;"10k";;;
14;"J1";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
15;"D8,D4";"D_SMA";2;"M7";;;
16;"BT1";"18650_Holder_SMD";1;"BH-18650-B1BA002";;;
17;"U4";"VCNL36821S";1;"VCNL36821S";;;
18;"U2";"SON45P300X300X80-13N";1;"FT234XD-R";;;
19;"U5";"SON50P300X300X100-11N";1;"MP2602DQ-LF-Z";;;
20;"C2,C4";"C_1206_3216Metric";2;"100n";;;
21;"R12";"R_0805_2012Metric";1;"470k";;;
22;"J4";"SHOUHAN_MICROXNJ";1;"MICROXNJ";;;
23;"R13";"R_1206_3216Metric";1;"100k";;;
24;"U3";"SOIC127P600X175-8N";1;"CAT24C256";;;
